date,susceptibles,infectives,removed,S,I,R,S_ode,I_ode,R_ode
2021-03-06,0.5480059,0.0318574,0.42042348,0.5473515065294905,0.032234008071281836,0.42041448539922766,0.5473515065294905,0.032234008071281836,0.42041448539922766
2021-03-07,0.5462168,0.031946447,0.42195725,0.5459713075525002,0.03199178690759871,0.42203690553990103,0.5452585712653831,0.03301545475499989,0.4217259739796167
2021-03-08,0.5445197,0.03211068,0.42346767,0.5444449626850736,0.03209529950141609,0.42345973781351026,0.5431234605075144,0.03380745541624528,0.42306908407624005
2021-03-09,0.54282135,0.03223734,0.42493248,0.5429024471513954,0.03223117036924184,0.4248663824793628,0.5409460812207162,0.03460970595046934,0.42444421282881417
2021-03-10,0.54113454,0.03252123,0.42636958,0.541259739558824,0.032462252493573915,0.42627800794760207,0.5387263551218384,0.0354218357527723,0.42585180912538895
2021-03-11,0.53931195,0.032940425,0.42776838,0.5395164841357607,0.03280150612552038,0.42768200973871895,0.5364642704307906,0.036243483389408464,0.4272922461798006
2021-03-12,0.5373933,0.03344273,0.4291596,0.5375654496281026,0.03346218245569927,0.428972367916198,0.5341598600244528,0.03707424429531649,0.4287658956802303
2021-03-13,0.5354211,0.034017064,0.43055058,0.5355902141809574,0.034012654297697786,0.43039713152134484,0.5318131806128001,0.03791369821723762,0.43027312116996186
2021-03-14,0.53338325,0.03468331,0.43193302,0.5335520495145427,0.034619244874069484,0.43182870561138775,0.5294243608953901,0.03876138003539974,0.4318142590692098
2021-03-15,0.53124017,0.03546238,0.4333116,0.531469921643389,0.03525772783306985,0.43327235052354107,0.5269935655055359,0.03961680350606439,0.4333896309883994
2021-03-16,0.5289579,0.03636043,0.43470502,0.529068522645102,0.03642190568342098,0.434509571671477,0.5245210115162727,0.04047944972001549,0.4349995387637115
2021-03-17,0.5265261,0.037366644,0.4361339,0.5266837602044464,0.03734449767651583,0.4359717421190378,0.5220069644215692,0.041348773710853666,0.4366442618675767
2021-03-18,0.523958,0.038458254,0.4376114,0.5241148774905326,0.0384320999255487,0.4374530225839186,0.5194517463887565,0.04222419747150179,0.4383240561397414
2021-03-19,0.52128243,0.039608374,0.43914002,0.5214866063318355,0.03945477385775585,0.4390586198104086,0.5168557344901159,0.04310511202337171,0.440039153486512
2021-03-20,0.5185296,0.040794168,0.4407133,0.5186628047964538,0.040779303050247954,0.4405578921532983,0.5142193498328925,0.04399088780372401,0.4417897623633831
2021-03-21,0.5157194,0.04200347,0.44232148,0.5158243403887398,0.04207028806340154,0.44210537154785867,0.5115430702236782,0.044880862859771005,0.4435760669165505
2021-03-22,0.5128537,0.043238208,0.44395736,0.5129349921716102,0.043361103661507944,0.4437039041668818,0.5088274301889157,0.045774349062345225,0.4453982207487387
2021-03-23,0.5099144,0.044513416,0.44562182,0.5101258450378081,0.044300340682986696,0.44557381427920517,0.506073018260102,0.04667063045706693,0.4472563512828308
2021-03-24,0.50686955,0.045851972,0.44732505,0.5069914294842031,0.04572537535220901,0.447283195163588,0.5032804778294118,0.04756896545645029,0.4491505567141376
2021-03-25,0.50368494,0.047276672,0.44908315,0.5037230998065668,0.047225291472277935,0.44905160872115524,0.5004505084155914,0.04846858886452775,0.4510809027198806
2021-03-26,0.5003396,0.04880064,0.45091054,0.5002927161655656,0.0488483299778735,0.45085895385656094,0.497583863786519,0.049368708991461195,0.45304742722201957
2021-03-27,0.49683973,0.050419297,0.4528108,0.4967570834265137,0.0505157552258261,0.4527271613476602,0.49468135222564064,0.05026851495610217,0.45505013281825696
2021-03-28,0.49322292,0.05210655,0.4547725,0.49316231636524904,0.0521935994991793,0.4546440841355716,0.49174383700312374,0.05116717261614885,0.45708899038072714
2021-03-29,0.48955116,0.053817026,0.45677367,0.4895216039431935,0.05385517992800474,0.4566232161288018,0.4887722362205357,0.05206382679001396,0.4591639369894501
2021-03-30,0.48589367,0.055494517,0.4587923,0.4858774185126709,0.055446791942351324,0.45867578954497773,0.4857675179729308,0.052957606382648396,0.46127487564442066
2021-03-31,0.4823079,0.057083175,0.46081758,0.4821770974062708,0.05707436230045853,0.4607485402932707,0.48273070350252517,0.05384762389311789,0.46342167260435674
2021-04-01,0.47882867,0.058537897,0.46285447,0.47853474165825766,0.058537007110151314,0.46292825123159104,0.47966286707483663,0.05473297692368478,0.46560415600147836
2021-04-02,0.47546586,0.05983012,0.46492064,0.475023521627502,0.05982066492251504,0.46515581344998297,0.47656512903080717,0.05561275025598993,0.46782212071320267
2021-04-03,0.47220987,0.06094912,0.46703938,0.47172789918576774,0.0608817113629049,0.4673903894513274,0.4734386574138993,0.05648601761690628,0.4700753249691942
2021-04-04,0.46904022,0.061899506,0.46923175,0.46830974731117186,0.06233643601914275,0.4693538166696854,0.470284668776072,0.0573518434482122,0.47236348777571563
2021-04-05,0.4659323,0.0626969,0.47151223,0.4650562160379054,0.06354885480417391,0.47139492915792064,0.4671044221161366,0.05820928664541389,0.4746862912384493
2021-04-06,0.4628624,0.063363485,0.47388682,0.4624436496540804,0.06362733632477276,0.4739290140211468,0.463899217643357,0.05905740240497665,0.4770433799516661
2021-04-07,0.4598102,0.06392408,0.47635415,0.45982189250394667,0.0639761195531222,0.4762019879429311,0.4606703978117279,0.05989524288401272,0.47943435930425915
2021-04-08,0.4567594,0.064403445,0.4789074,0.45705179553851594,0.06446856674146696,0.4784796377200171,0.45741934180264837,0.06072186115473337,0.481858797042618
2021-04-09,0.45369792,0.06482426,0.48153603,0.4541118769298079,0.06500641716245174,0.4808817059077404,0.45414746194499955,0.0615363141813848,0.4843162238736154
