date,susceptibles,infectives,removed,S,I,R,S_ode,I_ode,R_ode
2021-03-01,0.4001474,0.34412447,0.25637254,0.3956878103608487,0.34659741846943626,0.25771477116971503,0.3956878103608487,0.34659741846943626,0.25771477116971503
2021-03-02,0.39702234,0.3455245,0.25784558,0.39411349562281756,0.34688971025030885,0.25899679412687365,0.39184599780182494,0.3492431079898309,0.25891089420834423
2021-03-03,0.39438456,0.34641474,0.25941914,0.39249171078857087,0.3472255078152932,0.26028278139613586,0.38801277776249915,0.35187113829125793,0.26011608394624297
2021-03-04,0.39204916,0.34702054,0.26097035,0.3908718064613479,0.347555358912122,0.26157283462653,0.38418881340076305,0.3544809072214844,0.2613302793777526
2021-03-05,0.38996536,0.3475941,0.26253796,0.38920463533596616,0.3479501129135194,0.26284525175051443,0.38037482168263903,0.35707176586668654,0.2625534124506744
2021-03-06,0.38791284,0.3480621,0.2639824,0.3875648586237107,0.34830049711406463,0.26413464426222466,0.3765714348205415,0.3596431457815219,0.26378541939793654
2021-03-07,0.38600403,0.34845755,0.26541567,0.38591905920652847,0.3486521011029495,0.265428839690522,0.37277930032378914,0.3621944676029464,0.2650262320732644
2021-03-08,0.3841802,0.34882158,0.26686218,0.3842671354353916,0.3490017737602964,0.266731090804312,0.36899905842105507,0.3647251608119392,0.2662757807670057
2021-03-09,0.38235584,0.34920862,0.26830477,0.3826095447309268,0.3493470755094267,0.26804337975964654,0.36523133863275714,0.367234667780756,0.26753399358648683
2021-03-10,0.38047454,0.34966767,0.2697247,0.3809586882745868,0.3496724540490105,0.26936885767640273,0.361476759879931,0.3697224432992266,0.26880079682084235
2021-03-11,0.3785079,0.3502297,0.271113,0.3791742649950625,0.3501407511223819,0.2706849838825555,0.3577359319319129,0.3721879531414304,0.2700761149266567
2021-03-12,0.3764456,0.35090697,0.27247092,0.3772586890567763,0.35075679505838525,0.2719845158848385,0.3540094533898095,0.3746306764499459,0.2713598701602446
2021-03-13,0.3742863,0.35169896,0.27380636,0.37518929272641693,0.35152205976793105,0.273288647505652,0.3502979116453513,0.37705010466206407,0.2726519836925847
2021-03-14,0.37203163,0.35260007,0.27512997,0.3729945631441654,0.35240142551174203,0.27460401134409257,0.3466018816249157,0.3794457438780721,0.2739523744970122
2021-03-15,0.36968136,0.3536063,0.27645144,0.370710585715068,0.35337832349820536,0.2759110907867267,0.34292192568980184,0.3818171150559592,0.27526095925423893
2021-03-16,0.36723027,0.35472003,0.277777,0.36835486948424867,0.35443628658473686,0.2772088439310145,0.3392585956702015,0.38416375030600236,0.2765776540237962
2021-03-17,0.36466768,0.3559512,0.27910826,0.3657847500404905,0.35570506975595956,0.2785101802035499,0.33561243159585324,0.38648519519116215,0.2779023732129846
2021-03-18,0.36197764,0.3573167,0.28044248,0.36306253823814083,0.3571180420738238,0.27981941968803536,0.3319839612470537,0.38878100944729155,0.27923502930565475
2021-03-19,0.35914177,0.35883734,0.2817737,0.3601265077047651,0.35872241951197414,0.28115107278326074,0.32837369800797767,0.3910507684293782,0.2805755335626442
2021-03-20,0.35614204,0.36053392,0.28309473,0.3570271017706565,0.3604828282085628,0.2824900700207807,0.3247821424382772,0.3932940618106791,0.2819237957510437
2021-03-21,0.35296372,0.36242342,0.2843992,0.35375862809023023,0.3624317958526454,0.28380957605712437,0.32120978326293537,0.3955104927790968,0.28327972395796785
